name,address,url,AstraZeneca - Dose 1,AstraZeneca - Dose 2,Pfizer - Dose 1,Pfizer - Dose 2,Moderna - Dose 1,Moderna - Dose 2
Bradford College,"Great Horton Road, Bradford, BD7 1AY",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/O9G5U,false,false,true,true,false,false
Jacob's Well,"Nelson Street, Bradford, BD1 5AX",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/M6F1B,true,true,false,false,false,false
93 St James Street,"Burnley, BB11 1PY",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/CWSC01,true,true,true,true,false,false
The Pharmacy Group - Chapeltown,"The Reginald Centre, 263 Chapeltown, Leeds, LS7 3EX",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/P0Y8F,false,false,false,false,false,false
Didsbury Street,"Blackburn, BB1 3JL",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/DSM001,true,true,true,true,false,false
Etihad Mass Vaccination Centre,"Tennis Centre, Sport City Way, Manchester, M11 3DU",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/C4Y2X,true,true,true,true,false,false
St. John's Shopping Centre,"Preston, PR1 1FB",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/O2A4C,true,true,false,false,true,true
Belle Vue Sports Village,"Car Park entrance G, Pink Bank Lane, Manchester, M12 4TF",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/F8C0J,true,true,true,true,false,false
Friday Street,"Chorley, PR6 0AA",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/FSCP01,true,true,true,true,false,false
Askham Bar Vaccination Centre,"Moor Lane car park, Moor Lane, York, York, YO24 1LW",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/RX37E,false,false,false,false,false,false
"Raphaels House, Victoria Hospital","",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/FBKP8,false,false,false,false,false,false
Late Night Pharmacy Woolwich,"Ground floor, Equitable House, Lower, 10 Woolwich New Road, London, SE18 6AB",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/FA716,true,true,false,false,false,false
Redbridge Town Hall,"High Road, ilford, Redbridge, IG1 1DD",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/H0MOU,true,true,true,true,false,false
Junction Pharmacy,"222 Coldharbour Lane, Brixton, London, SW9 8SA",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/M9X1G,true,false,false,false,false,false
Queens (Rosendale road),"107a Rosendale Road, London, SE21 8EZ",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/D3F7M,true,false,false,false,false,false
Evergreen Surgery,"1 Smythe Close, Edmonton, London, N9 0TW",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/B1J6G,true,true,true,true,false,false
Crystal Palace Football Stadium,"Whitehorse Lane, London, SE25 6PU",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/X5NOG,true,true,true,true,false,false
Arsenal Emirates stadium,"Hornsey Road, London, London, N7 7AJ",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/AES001,false,false,true,false,false,false
Finsbury Park Mosque,"7 -11 St Thomas Road, London, N4 2QH",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/NONODS654,false,false,false,false,true,true
Finsbury Park,"Ashley Rd, Haringey, London, N19 3AD",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/C3F4O,false,false,false,false,true,false
Alban Arena,"Civic Centre, St Albans, St Albans, AL1 3LD",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/H9Z1D,true,true,false,false,false,false
Hemel Hempstead Hospital,"Hillfield Road, Hemel Hempstead, Hertfordshire, HP2 4AD",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/HHH001,true,true,false,false,false,false
Roche Pharmaceuticals,"Hexagon Place, Falcon Way, Shire Park, Welwyn Garden City, AL7 1TW",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/NONODS382,true,true,false,false,false,false
Robertson House (PZ),"6 Six Halls Way, Stevenage, SG1 2FQ",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/NONODS381,false,false,true,true,false,false
Robertson House (AZ),"6 Six Halls Way, Stevenage, SG1 2FQ",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/NONODS380,true,true,false,false,false,false
Carlton House Surgery,"28 Tenniswood Road, Enfield, London, EN1 3LL",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/J4C5P,true,true,true,true,false,false
Former Argos Store,"Garden Square Shopping Centre, Letchworth Garden City, SG6 3DP",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/NONODS378,true,true,false,false,false,false
Alderley Park,"Congleton Road, Macclesfield, SK10 4TF",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/G6F4V,true,true,false,false,false,false
The Octagon Centre,"Clarkson Street, Sheffield, S10 2TQ",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/X5F0A,false,false,false,false,false,false
Kingston Centre,"Fairway, Stafford, Staffordshire, ST16 3TW",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/R2Y8T,false,false,false,false,true,false
Casa Hotel,"Lockoford Lane, Chesterfield, Derbyshire, S41 7JB",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/A9T0I,false,true,false,false,false,false
Darnall Primary Care Centre,"290 Main Road, Sheffield, S9 4QH",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/C3N0X,false,false,true,true,false,false
Copes Pharmacy,"570 - 572 Streatham High Road, London, SW16 3QQ",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/E7S5S,true,true,false,false,false,false
City Hospital - Cardiac Rehab Gym,"Birmingham City Hospital, Dudley Road, Birmingham, B18 7QH",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/C4U1D,true,true,true,true,false,false
Tipton Sports Academy Vaccination Centre,"Wednesbury Oak Road, Tipton, Tipton, DY4 0BS",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/R8T9R,true,true,true,true,false,false
M W Phillips Vaccination Centre,"121 shady lane, Great Barr, Birmingham, B44 9ET",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/W3T2L,true,true,true,true,false,false
Saddlers Vaccination Centre,"Saddlers Centre - TJ Hughes, 11 Bradford Mall, Walsall, WS1 1YT",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/W6M0O,true,true,true,true,false,false
Jaysons Pharmacy,"97 Arleston Drive, Wollaton, Nottingham, Nottinghamshire, NG8 2GB",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/J0N7H,false,false,false,false,false,false
Kings Meadow Campus,"Kings Meadow Campus, Lenton Lane, Nottingham, Nottinghamshire, NG7 2NR",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/N6K1M,true,true,true,true,false,false
Queens Medical Centre,"Nottingham University Hospital, Derby Road, Nottingham, Nottinghamshire, NG7 2UH",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/RTG09,true,true,true,true,false,false
Gamston Community Centre,"Gamston District Centre, Gamston, Nottingham, Nottingham, NG2 6PS",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/E3F1A,true,true,true,true,false,false
Forest Recreation Ground,"Gregory Boulevard, Nottingham, Nottingham, NG7 6LB",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/E2E8U,true,true,true,true,false,false
Bath & West Showground,"The Showground, Shepton Mallet, Somerset, BA4 6QN",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/G3F9T,false,true,true,false,false,false
Taunton Racecourse,"Orchard Portman, Taunton, Somerset, TA3 7BL",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/B3X1S,false,true,false,false,false,false
Waitrose Sports Hall,"Willoughby Road, Bracknell, RG12 8FP",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/J4N9Z,false,false,true,false,false,false
Birch Hill Medical Centre,"Birch Hill, Leppington, Bracknell, RG12 7WW",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/B1W3P,false,false,true,true,false,false
Bath Halls,"Doncaster Road, Scunthorpe, DN15 7RG",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/C0A9J,false,false,false,false,false,false
Lincolnshire Showground,"Grange-de-lings, Lincoln, LN2 2NA",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/G8K7C,true,true,false,false,false,false
Hertfordshire Community NHS Trust,"Bedford Heights, Brickhill Dirve, Bedford, Bedfordshire, MK41 7PH",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/W4T5V,true,true,true,true,false,false
North Lonsdale Road,"Ulverston, LA12 9DR",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/D5G7Q,true,true,true,true,false,false
Dalton Square,"Lancaster, LA1 1PJ",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/X9J7O,true,true,true,true,false,false
Willows Pharmacy,"Downham Market Health Centre, Paradise Road, Downham Market, PE38 9JE",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/L2Y4S,false,false,false,false,true,true
Aqua Pharmacy Ipswich,"Aqua Pharmacy, 52 Duke Street, Ipswich, IP3 0AQ",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/I3C0Q,true,true,false,false,false,false
Princess Royal Sports Arena,"Great Fen Road, Wyberton Fen, Boston, PE21 7PB",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/B8B2P,true,true,true,true,false,false
Lincolnshire Showground,"Grange-de-lings, Lincoln, LN2 2NA",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/C8G2O,true,true,false,false,false,false
Newark Showground,"Lincoln Road, Winthorpe, Newark, NG24 2NY",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/F8D2H,true,true,true,true,false,false
Richard Herrod Leisure Centre,"Foxhill Road, Carlton, Nottingham, Nottingham, NG4 1RL",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/J5A7F,true,true,true,true,false,false
Ashfield Health Village,"Portland Street, Kirkby-In-Ashfield, Nottingham, Nottingham, NG17 7AE",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/A8O5F,true,true,true,true,false,false
Kings Mill Hospital,"Mansfield Road, Sutton-in-Ashfield, Nottingham, Nottinghamshire, NG17 4JL",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/RHAGX,true,true,true,true,false,false
Mansfield Wickes Site,"Former Wickes Store, 134 Chesterfield Road South, Mansfield, Nottinghamshire, NG19 7AP",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/I8D5V,true,true,true,true,false,false
