Site name,Address,Postcode,,
AFC Wimbledon,"Plough Lane, London",SW17 0BL,,
Airedale General Hospital,"PHARMACY DEPARTMENT
SKIPTON ROAD
STEETON KEIGHLY",BD20 6TD,,
Alastair Farquhason Centre,"Thurrock Hospital, Long Lane",RM16 2PX,,
"Alban Arena,Civic Centre - to be replaced by St Albans Bus Vac Centre (formerly St Peters)",St Alban's,AL1 3LD,,
Alderley Park Conference centre,Congleton Road,SK10 4TG,,
Angel Centre,"Angel Lane, Tonbridge",TN9 1SF,,
Artrix Centre,Bromsgrove ,B60 1GN,,
Ashton Gate Stadium,"Ashton Gate, Bristol",BS3 2ES,,
"Askham Bar
Park and ride at Askham Bar","Tadcaster Road, York",YO24 1LW,,
Aston Villa FC,"Villa Park, 218 Witton Lane Birmingham",B6 6HE,,
Avanti Meadows School - to be replaced by Bishop Stortford FC,"
Farnham Road, Bishops Stortford, Hertfordshire, ",CM23 1JJ,,
Basingstoke Fire Station,"W Ham Cl, Basingstoke ",RG22 6PH,,
Bath Racecourse,"Bath Racecourse, Lansdown, Bath",BA1 9BU,,
Battersea Arts Centre,"Lavender Hill, London",SW11 5TN,,
Bedford Heights,"Brickhill Drive, Bedford",MK41 7PH,,
Biggleswade Community Hospital ,"Potton Road, Biggleswade",SG18 0EJ,,
Black Country Living Museum ,"Tipton Road, Dudley",DY1 4SQ,,
Blackpool Winter Gardens,"Winter Gardens, 97 Church Street, Blackpool, Lancashire,",FY1 1HL,,
Bournemouth International Centre,"Exeter Road, Bournemouth ",BH2 5BH,,
Brighton Centre,"Kings Road, Brighton",BN1 2GR,,
Bromley Civic Centre,"Stockwell Close, Bromley",BR1 3UH,,
Business Design Centre,"52 Upper St, The Angel Islington, London",N1 0QH,,
Centrale Shopping Centre,"21 North End, Croydon",CR0 1TY,,
Centre Court Shopping Centre,"4 Queens Road, Wimbledon",SW19 8YA,,
Centre for Life,"Times Square, Newcastle upon Tyne",NE1 4EP,,
Chelmsford Race Course ,Chelmsford,CM3 1QP,,
Cherry Hinton Village Leisure Centre,Colville Rd,CB1 9EJ,,
Chester Race Course,Watergate Square,CH12LY,,
Chesterton Indoor Bowls Club,"Logans Way, Cambridge",CB4 1BL,,
Chevington Close Vaccination Centre  -   (Former) Riverwalk School,"Mayfield Road, Bury St Edmunds",IP33 3FT,,
Chingford Leisure Centre,Chingford Leisure Centre,E4 9EY,,
Clacton Hospital,"Clacton & District Hospital, Tower Road, Clacton-On-Sea",CO15 1LH,,
Cliff Pavillion,"Station Road, Westcliff-on-Sea",SS0 7RA,,
Colchester Football Club,"Jobserve Community Stadium, United Way Mile End, Colchester",CO4 5UP,,
College Heath Road - Former Forrest Heath Offices,College Heath Rd Mildenhall ,IP28 7EY,,
Compass Centre,"Bath Road, Heathrow",TW6 2GW,,
Connaught Hall,"Station Road, Attleborough",NR17 2AS,,
Corn Exchange Theatre,"Tuesday Market Place, Kings Lynn",PE30 1JW,,
CP House,"97-107 Uxbridge Road, Ealing",W5 5TL,,
Crawley Hospital,"W Green Dr, Crawley ",RH11 7DH,,
Crystal Palace FC,"Selhurst Park Stadium, Holmesdale Road, London",SE25 6PU,,
Darlington Mowden Park (Northern Echo Arena),"Mowden Park, Neasham Road, Darlington",DL2 1DL,,
Debenhams Folca Centre,"48-66 Sandgate Road, Folkestone",CT20 1DN,,
Derby Arena,"Royal Way, Derby",DE24 8JB,,
Dugdale Centre," 39 London Road, Enfield",EN2 6DS,,
Durnham Arnison VC (Northumbria Water HQ) ,"Boldon House, Wheatlands Way, Durham, County Durham",DH1 5FA,,
DW Sports Medway Unit 44 Pentagon Shopping Centre Chatham),Pentagon Centre Chatham,ME4 4HP,,
East of England Showground,Oundle Road Peterborough,PE2 6XE,,
Edgbaston Cricket Ground,"Edgbaston Road, Birmingham",B5 7QU,,
Elgar House,Holmer Road Hereford,HR4 9BD,,
Elland Road Stadium,Leeds,LS11 0ES,,
ETC Venues,"86 Edgware Rd, Marble Arch, Westminster",W2 2EA,,
Etihad Tennis centre Manchester,"Sportcity Gate 2 Alan Turing Way, Manchester ",M11 3BS,,
Excel Centre (London Nightingale) (Being replaced by Westfield 2),"Door N8, Excel traffic office, Sandstone lane",E16 1FR,,
"FlyDSA Arena, Sheffield being replaced by Sheffield Longley Lane ","A6102 Broughton Lane, Sheffield",S9 2DF,,
Former Da Vinci Grammar School - Letchworth,Broadway,SG6 3PA,,
"Former Wickes Store
Mansfield VC","134 Chesterfield Road South, Mansfield",NG19 7AP,,
Fountain Leisure Centre,"658 Chiswick High Road, Brentford",TW8 0HJ,,
Francis Crick Institute,"1 Midland Road, London",NW1 1AT,,
Gainsborough Sports Centre,"5 Brazier’s Wood Rd, Ipswich",IP3 0SP,,
Glaxo Sports Centre Ulverston,"North Lonsdale Road, Ulverston",LA12 9DR,,
Grafton Centre ,"Unit 30, Grafton Centre, Cambridge",CB1 1PS,,
Greendale Business Park (replacing Westpoint),Woodbury Salterton,EX5 1EW,,
Guttman Centre (Mandeville Stadium) replacing NBU,"Guttman Road, ",HP21 9PP,,
Guys Hospital,"Great Maze Pond, London",SE1 7RH,,
"Hall 1, Stoneleigh Park Agricultural Centre",Kenilworth,CV8 2LG,,
"Hamble House, St James Hospital site ","Nelson Drive, Locksway Road. Southsea",PO4 8FE,,
Harlequins RFC,"The Stoop, Langhorn Drive, Twickenham",TW2 7SX,,
Harlow Sports Centre ,"Second Av, Harlow, Essex ",CM20 3DT,,
Hawks Road Health Clinic (NHSPS Vacant),"Hawks Road Clinic Hawks Road, Kingston-Upon-Thames ",KT1 3EW,,
Hemel Hempstead Hospital,"Hillfield Rd, Hemel Hempstead",HP2 4AD,,
Hexham and Northern Marts (Main Office),"Tyne Green, Hexham, Northumberland",NE46 3SG,,
Home Park,"Home Park, Plymouth, Devon",PL2 3DQ,,
Hornsey Central Neighbourhood Health Centre,"151 Park Road, London ",N8 8JD,,
Horsefair Supermarket,"Horsefair Shopping Centre, Churchill Road, Wisbech",PE13 1AR,,
Hull City Hall,"Queen Victoria Square, Carr Lane, Hull ",HU1 3RQ,,
Indoor Bowls Centre,"Shrewsbury Sports Village, Sundorne Road, Shrewsbury",SY1 4RQ,,
Inspire: Luton Sports Village   ,"Butterfields, Green Road Luton",LU2 8DD,,
Jacob's Well  Bradford,"Jacob's Well Car Park, 5 Nelson St, Bradford",BD1 5AX,,
John Smith's Stadium,"Stadium Way, Huddersfield",HD1 6PG,,
"King’s College Hospital (HH)
Denmark Hill","Denmark Hill, Brixton, London",SE5 9RS,,
Kings George Hospital (HH),"Barley Lane, Goodmayes, London,",IG3 8YB,,
Kingston Centre,"Fairway, Stafford",ST16 3TW,,
Lancaster Town Hall,"Lancaster Town Hall, Dalton Square",LA1 1PL,,
Lewisham Hospital,"Lewisham High St, London",SE13 6LH,,
Liberty Shopping Centre,"Unit 4, Lockwood Walk, Romford  (Former Sports Direct store)",RM1 3RH,,
Lincs Showground,"Grange-de-Lings, Lincoln",LN2 2NA,,
Ludlow race course ,"Bromfield, Ludlow",SY8 2BT,,
Madejski  Stadium (Being replaced Unit 49/50 Broad Street Mall),"Junction 11, M4, Reading",RG2 0FL,,
Malvern Showground,Malvern Three Counties Showground,WR13 6NW,,
Market gates (Former BrightHouse) ,19/21 Market Gates Shopping Centre,NR30 2BG,,
Millennium Point ,"Curzon Street, Birmingham",B4 7XG,,
Murray Hall Community Centre,"106 Borders Lane, Loughton",IG10 3SB,,
Network House,"8 Fulton Rd, Wembley, London. ",HA9 0NU,,
"North Devon
Barnstaple Leisure Centre","Seven Brethren Bank, Sticklepath, Barnstaple ",EX31 2AP,,
North Walsham Community Centre,"New Road, North Walsham",NR28 9DE,,
Norwich Foodcourt,"100 Castle Quarter, Norwich",NR1 3JX,,
Novotel Conference Centre,"Chablis Suite, Hammersmith, London",W6 8DR,,
Oak Tree Centre,"1 Oak Drive, Huntingdon",PE29 7HN,,
"Old Building, Bradford College",Great Horton Road,BD7 1DP,,
Old Laws Court,Old Nelson Street Lowerstoft,NR32 1EQ,,
Oxford Kassam Stadium,"Grenoble Road, Oxford ",OX4 4XP,,
Paddock Road Surgery,Harleston,IP20 9AR,,
Peepul Centre,"Orchardson Ave, Leicester",LE4 6DP,,
Peterborough City Care Centre,"City Care Centre, Thorpe Road, Peterborough ",PE3 6DB ,,
PFK Auctioneers,Penrith,CA11 0DN,,
Princess Royal Sports Arena,"Great Fen Road, Wyberton, Boston",PE21 7PB,,
Priory House,"Monks Walk, Chicksands, Shefford",SG17 5TQ,,
Queen Elizabeth Hospital,"Stadium Rd, Woolwich, London",SE18 4QH,,
Queen Mary's Hospital,"Roehampton lane, London",SW15 5PN,,
Redgrave Children's Centre,"Redgrave Children's Centre, Luton",LU3 3QN,,
Riverside Park Stadium,Middlesbrough,TS3 6RS,,
Robertson House,"6 Six Hills Way, Stevenage ",SG1 2FQ,,
"Roche - WGC, Hexagon Place","Falcon Way, Shire Park, Welwyn Garden City",AL7 1TW,,
Royal Cornwall Showground ,Wadebridge,PL27 7JE,,
Royal Pavilion,"Summerhouse Road, Moulton Park, Northampton",NN3 6BJ,,
Runnymede Hall,"Kiln Road, Thundersley, Essex",SS7 1TF,,
Saddlers Vaccination Centre (prev name TJ Hughes),"11 Bradford Mall ,The Saddlers Centre, Walsall,",WS1 1YS,,
Saga Call Centre,"Eurokent Business Park, Haine Road, Ramsgate, Kent",CT12 5ZW,,
Salisbury City Hall,"Salisbury City Hall, Malthouse Lane, Salisbury, Wiltshire",SP2 7TU,,
Salt Hill Activity Centre,"16-20 Bath Road, Slough",SL1 3SS,,
Sandown Park (replacing Epsom Racecourse),"Sandown Park, Portsmouth Road ",KT10 9AJ,,
Sanofi,"Rainham Road South, Dagenham",RM10 7XS,,
Saxon Court,"502 Avebury Boulevard, Milton Keynes",MK9 3HS,,
Science Museum,"Exhibition Road, London",SW7 2DD,,
Scunthorpe Baths Hall,"Doncaster Road, Scunthorpe ",DN15 7RG,,
Southampton CCG Offices,"CCG Offices, Oakley Road, Southampton",SO16 4GX,,
"Spectrum Community Health CIC, Wakefield","One Navigation Walk, Hebble Wharf, Wakefield",WF1 5RH,,
St Helens Rugby Ground,"Peasley Cross Ln, McManus Dr, St Helens.",WA9 3AL,,
St Johns Shopping Centre,"(units 21 - 25) L&SC, Preston",PR1 1FB,,
St Margaret's ,"Building 2, Spencer Close, St Margaret’s Hospital, The Plain, Epping, Essex, CM16 6TN",CM16 6TN,,
St Nicholas Shopping Centre,"St Nicholas Way, Sutton",SM1 1AY,,
St Peters Church,Eden Close Worcester,WR5 3TY,,
St Thomas's Hospital (Gassiot House),"20 St Thomas Street, London",SE1 7EH,,
"Stone X, Copthall Stadium","Champions Way, London",NW4 1RL,,
Stowmarket Salvation Army,"3 Violet Hill Road, Stowmarket",IP14 1NE,,
Sunderland Nightingale,"Sunderland Nightingale, Washington Rd, Museum ",SR5 3HX,,
Taunton Racecourse,"Orchard Portman, Taunton ",TA3 7BL,,
Telford International Centre,"St Quentin Gate, Telford",TF3 4JH,,
"The Columbine Centre
(Formerly Walton-on-Naze)","Walton on Naze, Frinton",CO14 8PZ,,
The Crypt,"Blackburn Cathedral, Cathedral Close, Ewood, Blackburn. ",BB1 5AA  ,,
The Lodge,"Runwell Chase, Runwell, Wickford",SS11 7XX,,
"The Mall, Charter Walk Shopping Centre"," Unit 30-32, the Mall, Burnley L&SC, 93 St James's St",BB11 1PY,,
The Mill Arts & Events Centre,"Bellingham Lane, Rayleigh",SS6 7ED,,
The Old Vinyl Factory,"Blyth Road, Hayes",UB3 1HA,,
The Priory Centre - being replaced by The Eatons,Priory Lane St Neots,PE19 2BH,,
The Riverside Leisure Park," Riverside Paddock Touring Park, Dodnor Ln, Newport , Isle of Wight",PO30 2QR,,
"The Robert Jones and Agnes Hunt HH 
","Gobowen, Oswestry",SY10 7AG,,
"The Showground
Bath & West Showground", Shepton Mallet,BA4 6QN,,
Tipton Sports Academy,Tipton Sports Academy,DY4 0BS,,
"Town Hall 
Downham Market",Downham Market,PE38 9HS,,
Towngate Theatre,The Basildon Centre,SS14 1DL,,
Truro Showground,"The Showground, Tubbin Hill, Stithians, Truro ",TR3 7DP,,
Tyler Ryde,"South Woodham Ferrers, Chelmsford",CM3 5ZT,,
"Units G,H & I, 
Daniel Platts Business Park ","Charles Clowes Drive, Tunstall, Stoke-on-Trent",ST6 4JU,,
Unity Trust Offices,"Park Road, Haverhill",CB9 7YD,,
University Hospital Plymouth (Derriford),"Staff Health and Wellbeing Centre, Derriford Hospital.",PL6 8DH,,
Ware Priory,"High Street, Ware",SG12 9AL,,
Watford Town Hall,"Rickmansworth Rd, Watford",WD17 3EX,,
Watling House,"High Street North, Dunstable",LU6 1LF ,,
"Welcome Building, Devonshire Quarter being replaced Unit 1 ","Devonshire Park, College Rd, Eastbourne ",BN21 4JJ,,
"Westfield Stratford City - old ikea and Dwell retail unit, ","Mountfitchet Road, Olympic Park, East London, ",E20 1EJ,,
"Westgate Leisure Centre
","Via Ravenna, Chichester, Sussex",PO19 1RJ,,
"Westmorland Shopping Centre, (Units 26 - 29)","50A Stramongate, Kendal, Cumbria",LA9 4BD,,
Whitemore Lakes,Barley Green Lane Lichfield,WS13 8QT,,
Woodville Halls,"Woodville Place, Gravesend",DA12 1DD,,